sepal length,sepal width,petal length,petal width,Iris
continuous,"(1.998, 2.8] (2.8, 3.6] (3.6, 4.4]",continuous,"(0.0976, 0.9] (0.9, 1.7] (1.7, 2.5]",Iris-setosa Iris-virginica Iris-versicolor
numeric,ordinal,numeric,ordinal,class
5.1,"(2.8, 3.6]",1.4,"(0.0976, 0.9]",Iris-setosa
4.9,"(2.8, 3.6]",1.4,"(0.0976, 0.9]",Iris-setosa
4.7,"(2.8, 3.6]",1.3,"(0.0976, 0.9]",Iris-setosa
4.6,"(2.8, 3.6]",1.5,"(0.0976, 0.9]",Iris-setosa
5,"(2.8, 3.6]",1.4,"(0.0976, 0.9]",Iris-setosa
5.4,"(3.6, 4.4]",1.7,"(0.0976, 0.9]",Iris-setosa
4.6,"(2.8, 3.6]",1.4,"(0.0976, 0.9]",Iris-setosa
5,"(2.8, 3.6]",1.5,"(0.0976, 0.9]",Iris-setosa
4.4,"(2.8, 3.6]",1.4,"(0.0976, 0.9]",Iris-setosa
4.9,"(2.8, 3.6]",1.5,"(0.0976, 0.9]",Iris-setosa
5.4,"(3.6, 4.4]",1.5,"(0.0976, 0.9]",Iris-setosa
4.8,"(2.8, 3.6]",1.6,"(0.0976, 0.9]",Iris-setosa
4.8,"(2.8, 3.6]",1.4,"(0.0976, 0.9]",Iris-setosa
4.3,"(2.8, 3.6]",1.1,"(0.0976, 0.9]",Iris-setosa
5.8,"(3.6, 4.4]",1.2,"(0.0976, 0.9]",Iris-setosa
5.7,"(3.6, 4.4]",1.5,"(0.0976, 0.9]",Iris-setosa
5.4,"(3.6, 4.4]",1.3,"(0.0976, 0.9]",Iris-setosa
5.1,"(2.8, 3.6]",1.4,"(0.0976, 0.9]",Iris-setosa
5.7,"(3.6, 4.4]",1.7,"(0.0976, 0.9]",Iris-setosa
5.1,"(3.6, 4.4]",1.5,"(0.0976, 0.9]",Iris-setosa
5.4,"(2.8, 3.6]",1.7,"(0.0976, 0.9]",Iris-setosa
5.1,"(3.6, 4.4]",1.5,"(0.0976, 0.9]",Iris-setosa
4.6,"(2.8, 3.6]",1,"(0.0976, 0.9]",Iris-setosa
5.1,"(2.8, 3.6]",1.7,"(0.0976, 0.9]",Iris-setosa
4.8,"(2.8, 3.6]",1.9,"(0.0976, 0.9]",Iris-setosa
5,"(2.8, 3.6]",1.6,"(0.0976, 0.9]",Iris-setosa
5,"(2.8, 3.6]",1.6,"(0.0976, 0.9]",Iris-setosa
5.2,"(2.8, 3.6]",1.5,"(0.0976, 0.9]",Iris-setosa
5.2,"(2.8, 3.6]",1.4,"(0.0976, 0.9]",Iris-setosa
4.7,"(2.8, 3.6]",1.6,"(0.0976, 0.9]",Iris-setosa
4.8,"(2.8, 3.6]",1.6,"(0.0976, 0.9]",Iris-setosa
5.4,"(2.8, 3.6]",1.5,"(0.0976, 0.9]",Iris-setosa
5.2,"(3.6, 4.4]",1.5,"(0.0976, 0.9]",Iris-setosa
